image,title,rate,data
"https://m.media-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX140_CR0,3,140,207_.jpg",81. 굿 윌 헌팅,"8.3
 (1.1M)","1997
2h 6m
12"
"https://m.media-amazon.com/images/M/MV5BNjM3NGExNDctYmU0Yy00MTJjLThlNTItMjM4NDBjMGRiMmE5XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_QL75_UX140_CR0,0,140,207_.jpg",82. Mononoke-hime,"8.3
 (440K)","1997
2h 14m
All"
"https://m.media-amazon.com/images/M/MV5BYjVjZTVkZTUtOGE4OS00ZDU0LWIzMWItZjlkMjkzODk2ZDYyXkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR1,0,140,207_.jpg",83. 조커,"8.4
 (1.5M)","2019
2h 2m
15"
"https://m.media-amazon.com/images/M/MV5BYTVlNThhY2YtNTc3Yy00ODhiLTgyODQtZjg3NDJiMzU2Y2Y1XkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR3,0,140,207_.jpg",84. Neoui Ileum-eun.,"8.4
 (329K)","2016
1h 46m
12"
"https://m.media-amazon.com/images/M/MV5BZGQ1NWZlYjctNDJmOS00MmU2LTg1ODItNmZiM2ZkNzJhNDI0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UY207_CR3,0,140,207_.jpg",85. 천국과 지옥,"8.4
 (55K)","1963
2h 23m
Not Rated"
"https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY207_CR2,0,140,207_.jpg",86. 세 얼간이,"8.4
 (440K)","2009
2h 50m
12"
"https://m.media-amazon.com/images/M/MV5BOWEyNTBmNDYtMjY2Ny00Yjk5LWIwZjMtN2Q5NGQ1N2E0NzZiXkEyXkFqcGdeQXVyMTI5MzA0ODcy._V1_QL75_UY207_CR3,0,140,207_.jpg",87. 원스 어폰 어 타임 인 아메리카,"8.3
 (382K)","1984
3h 49m
18"
"https://m.media-amazon.com/images/M/MV5BZDRjNGViMjQtOThlMi00MTA3LThkYzQtNzJkYjBkMGE0YzE1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UY207_CR1,0,140,207_.jpg",88. 사랑은 비를 타고,"8.3
 (263K)","1952
1h 43m
All"
"https://m.media-amazon.com/images/M/MV5BMmExNzU2ZWMtYzUwYi00YmM2LTkxZTQtNmVhNjY0NTMyMWI2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY207_CR1,0,140,207_.jpg",89. 가버나움,"8.4
 (108K)","2018
2h 6m
15"
"https://m.media-amazon.com/images/M/MV5BODM4Njg0NTAtYjI5Ny00ZjAxLTkwNmItZTMxMWU5M2U3M2RjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,4,140,207_.jpg",90. 컴 앤 씨,"8.4
 (100K)","1985
2h 22m
15"
